"X1_t1","X2_t1","X3_t1","X4_t1","X5_t1","X6_t1","X7_t1","X8_t1","X9_t1","X10_t1","X11_t1","X12_t1","X13_t1","X14_t1","X15_t1","X16_t1","X17_t1","X18_t1","X19_t1","X20_t1","X21_t1","X22_t1","X23_t1","X24_t1","X1_t2","X2_t2","X3_t2","X4_t2","X5_t2","X6_t2","X7_t2","X8_t2","X9_t2","X10_t2","X11_t2","X12_t2","X13_t2","X14_t2","X15_t2","X16_t2","X17_t2","X18_t2","X19_t2","X20_t2","X21_t2","X22_t2","X23_t2","X24_t2","time_taken_t1","total_time","cat_questionnaire_time_t1","cat_questionnaire_time_t2","score_t1","score_t2","ID"
2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,2,3,3,2,1,1,1,1,3,3,1,3,3,1,1,3,1,1,1,1,2,3,808.982,125.068,40762,69166,31,45,25
1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,2,1,2,2,2,2,3,2,1,1,1,1,1,1,2,1,3,1,1,1,1,752.035,146.456,41317,77772,31,38,26
3,4,3,4,1,3,2,2,4,4,3,3,2,2,2,3,3,2,3,1,4,3,2,2,4,3,4,4,2,4,4,3,4,5,2,3,3,2,3,3,2,4,3,3,4,3,4,3,673.374,206.864,111157,107616,65,79,27
1,4,4,4,3,1,2,4,1,3,2,3,4,5,2,1,4,1,2,2,1,2,1,3,2,3,3,4,2,2,2,2,1,2,2,1,3,4,1,1,3,2,3,1,1,1,1,2,1072.918,435.49,164129,129384,60,49,28
2,4,3,4,4,3,2,2,4,4,2,3,2,3,3,2,3,3,3,2,2,3,3,4,3,4,3,4,4,2,4,3,3,3,3,3,3,4,3,2,3,3,3,2,2,2,3,3,878.557,565.027,109448,399198,70,72,29
4,4,4,5,4,4,4,4,3,3,4,4,3,5,3,4,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,3,4,5,3,4,4,4,3,4,3,3,3,4,609.115,196.036,75054,82260,89,88,30
4,3,5,5,1,2,4,2,4,5,1,4,3,3,3,2,2,2,3,2,4,2,2,3,5,4,4,5,2,2,4,2,4,2,1,4,2,3,3,4,2,4,4,2,4,1,2,3,568.218,168.446,107059,98739,71,73,31
2,2,4,3,3,5,2,3,2,2,3,4,2,4,3,2,4,4,3,3,4,4,4,2,4,4,3,4,3,4,3,4,3,3,4,4,4,4,4,3,4,4,2,2,5,4,5,5,365.195,148.077,47158,46477,74,89,32
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,3,2,3,2,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,773.009,211.867,80196,113984,24,49,33
2,4,2,3,2,3,3,3,4,3,2,3,4,4,2,1,1,1,4,1,2,2,2,2,3,4,4,4,3,3,1,3,5,3,2,3,4,4,2,2,2,3,3,2,4,2,2,2,467.422,148.301,65478,75095,60,70,34
2,3,3,4,2,3,2,1,2,4,2,2,1,4,3,2,3,4,2,5,4,2,2,3,4,3,2,4,2,3,1,1,2,3,2,3,2,5,2,2,3,4,2,4,3,2,2,3,343.623,129.288,51011,70234,65,64,35
2,3,5,4,3,4,1,3,1,2,2,4,3,3,2,4,4,4,4,3,3,2,2,3,3,4,5,4,3,2,2,4,4,3,3,4,2,4,2,4,2,5,2,5,3,2,4,2,693.025,91.775,35380,27752,71,78,36
2,2,2,2,2,1,1,3,2,1,4,2,2,4,2,2,1,4,2,2,2,1,4,2,3,4,4,4,2,1,2,3,1,2,4,2,1,3,2,2,4,4,3,3,2,2,4,4,742.57,395.511,91753,263409,52,66,37
4,4,5,5,3,2,1,2,4,5,5,3,4,5,3,3,4,4,4,2,4,2,3,2,3,3,4,5,3,3,1,2,5,5,5,2,3,5,3,2,5,4,4,2,5,3,2,2,1095.342,258.919,191649,124258,83,81,38
3,4,4,3,4,5,4,5,3,3,4,3,4,2,4,3,4,4,3,4,4,4,5,4,5,3,4,5,4,4,4,1,4,5,4,4,3,5,5,3,4,3,3,3,5,2,5,3,618.474,351.034,20805,226537,90,91,39
4,4,4,4,3,4,3,1,4,2,4,3,3,5,3,1,3,4,4,2,4,2,3,3,4,4,4,4,2,3,2,2,3,3,4,4,3,5,5,1,3,4,4,2,3,2,2,3,765.312,174.656,104183,95660,77,76,40
2,3,3,3,3,1,1,1,1,2,4,2,3,1,1,1,3,3,1,2,1,1,2,3,1,2,2,2,1,3,3,1,1,1,3,2,1,1,1,1,2,2,2,1,1,1,3,1,867.183,203.834,96204,86118,48,39,41
2,4,3,4,2,2,3,3,2,2,3,3,2,4,3,2,3,4,3,3,3,2,4,2,3,2,3,4,3,2,2,2,3,2,3,4,2,4,4,3,3,1,3,2,3,3,4,2,2063.453,580.62,277267,175070,68,67,42
2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,3,2,1,2,3,2,3,2,2,1,1,2,2,2,3,3,2,1,2,2,1,1,1,3,4,2,1,3,2,1025.897,278.035,119736,191656,43,48,43
1,2,5,4,1,1,1,2,1,2,2,1,1,1,1,1,2,3,2,1,1,1,2,3,2,1,1,3,1,1,1,1,1,2,1,1,1,2,2,1,1,3,1,1,2,1,1,1,1606.939,472.914,284248,200363,42,33,44
3,3,3,5,3,3,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,5,3,3,2,3,4,3,2,2,3,3,5,4,3,2,2,2,3,3,2,2,2,2,808.541,424.81,94921,161250,78,68,45
2,3,4,4,3,2,1,3,3,4,3,2,1,4,2,3,4,3,2,2,3,4,4,2,2,2,3,4,3,4,4,3,3,4,4,2,2,3,2,2,2,2,2,4,3,3,4,1,1344.59,270.125,156287,117974,68,68,46
4,4,5,5,2,4,4,2,1,2,5,4,3,3,5,3,2,4,5,1,2,1,2,5,4,5,5,5,3,2,3,2,5,3,5,4,4,5,5,2,5,5,5,2,4,4,5,4,1452.84,205.601,183400,122155,78,96,47
5,2,4,3,1,1,1,4,3,5,5,1,1,3,2,1,4,5,2,3,4,1,2,4,2,3,3,3,1,1,1,4,1,4,1,3,1,3,1,1,2,5,1,2,3,1,1,2,546.693,263.194,93648,178098,67,50,48
2,2,2,3,1,1,1,2,1,1,4,1,2,3,1,2,2,3,2,4,2,1,3,2,3,3,1,2,1,2,2,2,1,1,3,2,3,2,3,2,2,2,1,4,1,1,1,1,1253.935,331.995,202977,159400,48,46,49
4,4,4,5,2,2,3,4,2,5,4,3,4,2,4,3,4,4,4,2,2,3,3,4,4,3,4,4,2,1,3,2,2,5,3,2,4,4,3,2,3,4,4,1,3,1,2,3,729.852,333.645,102483,156148,81,69,50
3,2,3,4,1,4,1,3,2,3,4,3,4,1,3,2,5,2,3,3,2,5,5,2,4,3,4,3,4,3,5,3,3,4,3,3,2,1,3,2,3,2,3,2,2,3,4,2,394.355,285.601,81010,15360,70,71,51
3,2,2,2,2,2,1,2,5,4,3,3,4,5,4,2,2,3,3,2,5,3,2,3,3,3,3,2,2,2,1,1,4,3,2,2,3,4,3,2,3,3,2,2,4,2,2,2,489.08,120.335,75086,63970,69,60,52
3,3,4,4,1,2,2,2,1,2,4,2,1,1,3,1,3,3,3,1,2,1,1,1,4,4,3,4,1,2,3,2,1,3,3,2,1,2,3,1,3,3,3,2,2,1,3,2,1331.037,625.911,212203,249822,51,58,53
2,5,4,4,2,3,1,2,4,3,1,2,3,3,2,1,5,3,2,3,2,1,3,3,2,4,5,3,2,2,3,1,3,2,3,3,3,4,3,2,4,3,2,3,4,2,4,4,987.025,262.524,162850,132661,64,71,54
3,3,3,3,1,2,1,1,1,1,1,2,1,2,1,2,2,3,4,1,2,1,1,1,5,5,5,5,4,3,2,2,1,4,1,5,2,3,2,3,4,3,4,1,4,2,5,4,780.536,141.867,124133,81800,43,79,55
4,2,2,5,2,4,1,2,2,2,3,3,2,2,1,4,1,4,2,1,2,1,2,2,3,4,2,3,1,4,2,2,2,2,3,2,2,2,2,3,3,4,4,1,4,1,2,5,1034.264,305.066,135675,196261,56,63,56
4,4,3,4,2,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,4,4,3,3,4,3,3,4,2,4,2,3,3,1,2,3,3,3,3,2,2,4,2,3,3,3,3,3,1008.593,321.759,170909,151107,72,68,57
4,4,5,4,4,4,3,3,4,4,5,4,3,5,3,3,5,5,4,4,4,3,3,3,4,4,5,5,5,5,3,5,4,4,4,4,2,5,3,4,4,4,4,3,3,2,3,4,1054.539,341.631,133503,111508,93,93,58
1,3,4,2,1,3,3,3,3,2,2,2,1,3,2,3,3,3,3,2,1,4,2,2,2,3,3,2,1,2,1,2,3,1,1,1,1,3,1,2,1,3,2,2,2,3,2,1,760.384,439.209,133313,129718,58,45,59
1,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1371.365,446.048,213895,193692,33,29,60
1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,3,1,1,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,871.023,235.275,161758,133961,32,31,61
